商品名,评论内容,评论时间
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        苏宁真牛逼，快递员都不用本人签字验货直接扔单位就算签收，包装封条还是被拆开的，谁知道里面的部件是不是原厂的，花了这么多钱买了个二手相机，大家千万别***，投诉根本就没用，就是一句话检测，合肥明明没有佳能检测点，逼着送到南京，再说二手相机检测也没用，根本搞不赢的，付了款就是孙子，真不知道那么多好评哪来的，简直霸王条款，希望大家想清楚再买，这个差评是我人生中的第一次，都不如***二流店的服务，太失望了，这次就当买个教训，以上都是真实事情，如果有虚假***
                                                        ",2018-01-11 23:42:43
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        佳能77D真的真心不咋地，跳水的价格！6398买的，虽然不贵！售后服务真受不了，要是不满意还退不了货，说好的七天无理由呢！页面都有说明七天无理由！到了要退货就不承认了！之前做活动的时候，页面显示有说赠送内存卡，没送！
                                                        ",2018-01-11 09:29:09
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        双十一期间基本上都是这个价格，并且都有送赠品，结果收到货的时候赠品就没了，虽然客服的态度很好，但是问题的处理让我很郁闷，比在***的体验要差，第一次也是最后一次在苏宁购物了！
                                                        ",2017-11-20 19:02:46
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        包装盒子下面的封条是揭开状态，没有rfid的防伪标签，收货后客服就一直不在，没法解决问题。第一次来苏宁上购买，太不省心了，很怀疑是翻新机，大家以后不要来苏宁购买了，收到货客服就联系不上了，有问题也没人能解决。
                                                        ",2017-11-18 14:41:02
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        双十一促销说送赠品，下单后赠品就没有了，明显欺骗客户，等着投诉吧
                                                        ",2017-11-15 23:52:29
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        揭开封条，里边还有个已经背剪了的封条，明细背拆过了啊，有解释吗？ 另外电子发票在哪里
                                                        ",2017-11-12 16:08:25
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        商品服务物流都很好，请尽快将发票寄给我。
                                                        ",2017-11-11 05:33:55
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        太失望了 拿到手一看 包装明显被开过 都让人怀疑是不是二次销售了 还有从6999元下单到收到货才三天时间 就降价两百多 打电话问客服说是商品正在搞活动 不给价保 擦 活动要到七天后结束 正好价保结束 这不是坑人么 最后客服说只能给我申请一张50的抵用券。。。。这价格浮动太大了吧 真心失望
                                                        ",2017-10-25 18:16:22
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        郫县蜀都万达的苏宁卖相机那个女的，态度恶劣，及其恶劣，我花七千多买个相机，满眼的瞧不起，一脸的不屑，必须要给我一个合理的说法，必须，必须，必须！！！！差评差评差评，气死我了！！！！！！！！！！
                                                        ",2017-09-23 18:26:47
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        商品本身是没有什么问题的，给差评是因为苏宁跳水的价格，真的很生气，
                                                        ",2017-08-25 23:11:26
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        今天818特价我也是第一次在苏宁购物，拿到货的时候没有仔细检查，回来的时候看到镜头有异物，在线联系了客服，打电话联系了客服又叫我联系维修拿到广州指定店面看看，打电话给广州分公司电话那头说以下班，就想换一个镜头，无奈死了，以后都不会再来苏宁买东西了
                                                        ",2017-08-18 19:57:03
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        一句话，对苏宁彻底绝望，除了送货速度比较快以外，苏宁一无是处，退货还要我自己跑到很远的地方，相机里面进一个***算什么意思，灰尘就算了，一个这么大的东西，怎么进去的
                                                        ",2017-08-15 18:27:05
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        购买时网页显示有赠品，到手后什么也没有，看评价别人也有送包送卡，刚收到货又显示有赠品，为什么我什么都没有？那从一号开始预约意义何在？联系客服无人打理，非常失望！！！给一星不能再多了！
                                                        ",2017-08-05 22:11:49
